Text  ,Predicted_Label_ID,Predicted_Label,Hate_Speech_Probability,Predicted_Subclass_ID,Predicted_Subclass
"छान समजावून सांगितले पाटील, ऋषितुल्य बाबासाहेबांवर शिंतोडे उडविणारे हे हिंदुत्वाचा बुरखा पांघरून असलेले वराहच म्हणावे ",0,Not Hate Speech,0.12459399,0,Not Hate Speech
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
तुमच्या कडून काहीही अपेक्षित नाही. ,1,Hate Speech,0.99047524,3,Harassing
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
तुमचं काहीही अस्तित्व नाही. ,1,Hate Speech,0.9415295,1,Insulting
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
संवाद साधताना विचारांची शुद्धता महत्त्वाची आहे. ,0,Not Hate Speech,0.0011013051,0,Not Hate Speech
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
"आपल्याला जेवढे प्रेम मिळेल, तेवढेच प्रेम परत द्यायला हवे. ",0,Not Hate Speech,0.023204716,0,Not Hate Speech
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
हे सरकारच नाही मर्दाची अवलाद आहे ,1,Hate Speech,0.9166445,1,Insulting
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
"भाऊच नाही ओ, पाकिस्तान माविआ चा बाप पण आहे... ",1,Hate Speech,0.99198043,1,Insulting
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
नीच च्या पण खालच्या पातळीच आहे ते डुक्कर 😡 ,1,Hate Speech,0.98490435,1,Insulting
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
हे भक्त लोक तुम्हाला बाजारु विचारवंत अस का बोलत असतात हो ? फेसबुक वर सगळीकडे तेच दिसतंय म्हणून विचारलं आपल😬 ,1,Hate Speech,0.9787476,2,Religious Intolerance
 ,0,Not Hate Speech,0.04173723,0,Not Hate Speech
सकारात्मकतेने भरलेले विचार आणि क्रिया आपल्या जीवनात चांगले परिणाम आणतात. ,0,Not Hate Speech,0.0020066777,0,Not Hate Speech
